pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass,SEPHI_simple,VAE_anomaly
Teegarden's Star b,1.05,,1.0,1.08,3034.0,0.03,277.0,0.8568971394404677,0.8471691680713791,0.012502003526204803,4.849048260815846,0.9037083664753013,0.0097098229054937
Kepler-862 b,2.21,,0.5099818511796733,547.293,5333.0,0.0,1097.0,0.0,0.0,0.0,23.057921240007,0.0,0.009692920270339649
Kepler-411 b,2.401,25.6,1.869328493647913,201.3,4974.0,0.146,1138.0,0.23837599958714936,0.0036339091896619084,0.06432654805791044,108.38039146399191,0.0,0.009682975431401583
HIP 9618 b,3.82838127,8.3,0.14700544464609802,40.3,5649.0,0.0,640.88,0.0,0.0,0.0,34.55155341813132,0.0,0.00966890560020915
TrES-5 b,13.383546,568.9157,0.23774954627949185,442.993,5171.0,0.0,1480.0,0.0,0.0,0.0,2387.3818838009133,0.0,0.009668456839164698
Kepler-559 b,3.61,,0.26860254083484575,42.543,5630.0,0.0,706.0,0.0,0.0,0.0,52.932247141987716,0.0,0.009647673009954802
LHS 1903 e,1.732,5.79,1.1070780399274047,2.05,3664.0,0.014,333.0,0.7974693318104629,0.564644597444229,0.029331623657634788,24.094088904414466,0.9788964431621685,0.009647083272340222
Kepler-1490 b,3.04,,0.3357531760435572,3.788,5515.0,0.0,348.0,0.0,0.0,0.0,39.51204335427572,2.7572593997091526e-06,0.009636186805392206
K2-111 b,1.837,5.35,0.9193029038112523,490.0,5775.0,0.134,1293.0,0.22750813965207867,0.0015153490831609103,0.0857242079392989,23.871225212947035,0.0,0.00960960339535667
Kepler-511 c,4.20964327,,0.22141560798548096,101.6,5866.0,0.0,742.0,0.0,0.0,0.0,69.18831045500868,0.0,0.009606037035865655
WASP-47 d,3.65,15.5,0.3266787658802178,145.0,5565.0,0.001,885.0,0.20021317538365124,0.0041916850709394935,0.08011433456215675,66.54081393765193,0.0,0.009603948720909692
HD 189567 b,2.85,,0.3666061705989111,171.2523,5726.0,0.189,845.16,0.2206546339813391,0.003907713057509913,0.08441523748463378,35.54863750630473,0.0,0.009601666327002148
Kepler-1799 b,4.12801189,,0.2250453720508167,83.04,5831.0,0.0,770.0,0.0,0.0,0.0,66.31037961829318,0.0,0.009593038424757014
TOI-1439 b,4.2427861,38.5,0.5009074410163339,68.4355,5841.0,0.157,748.4,0.2687738773806101,0.011269880849034452,0.08748731100068981,160.25054109799862,0.0,0.009590754980952782
Kepler-1856 b,1.73447868,,0.6987295825771326,772.73,4948.0,0.0,1344.0,0.0,0.0,0.0,15.272306724229967,0.0,0.009587238918006868
